artist,nominations,year_with_most_nominations,most_common_category,most_common_award_class
Christian Scott aTunde Adjuah,1,2019,Best Contemporary Instrumental Album,album
Christina Aguilera,5,1999,Best Female Pop Vocal Performance,track
Christine Brewer,1,2005,Best Choral Performance,track
Christone Kingfish Ingram,1,2019,Best Traditional Blues Album,album
Christoph Eschenbach,1,2013,Best Classical Compendium,other
Christopher Cross,5,1980,Album Of The Year,track
Christopher Guest,1,2003,"Best Song Written For A Motion Picture, Television Or Other Visual Media",track
Christopher Maltman,1,2016,"Best Engineered Album, Classical",album
Christopher Mintz-Plasse,1,2016,Best Song Written For Visual Media,track
Christopher Reeve,1,1998,Best Spoken Word Album,album
Christopher Tin,1,2010,Best Instrumental Arrangement Accompanying Vocalist(s),other
Chubby Carrier And The Bayou Swamp Band,1,2010,Best Zydeco Or Cajun Music Album,album
Chubby Checker,1,1961,Best Rock & Roll Recording,track
Chucho Valdés,3,2000,Best Latin Jazz Album,album
Chucho Valdés And The Afro-Cuban Messengers,1,2010,Best Latin Jazz Album,album
Chuck Berry,1,1989,Best Historical Album,album
Chuck Mangione,2,1976,Best Instrumental Composition,other
Chuck Mangione and also Herb Alpert,1,1973,Best Instrumental Composition,other
Ciara,1,2005,Best Short Form Music Video,other
Cincinnati Symphony Orchestra,3,2006,"Best Engineered Album, Classical",album
Cissy Houston,2,1996,Best Traditional Soul Gospel Album,album
City Of Birmingham Symphony Orchestra,1,2019,Best Orchestral Performance,track
City Of London Sinfonia,1,1996,Best Opera Recording,track
Clannad,1,1998,Best New Age Album,album
Clare Fischer,1,1981,Best Latin Recording,track
Clarence Carter,1,1970,Best Rhythm & Blues Song,track
Clarence Gatemouth Brown,1,1982,Best Traditional Blues Recording,track
Clarke,1,2011,Best Jazz Instrumental Album,album
Claudette Southerland,1,1961,Best Original Cast Show Album,album
Claudia Brant,1,2018,Best Latin Pop Album,album
Claudio Abbado,1,2003,Best Classical Vocal Performance,track
Claus Adam,2,1965,Best Chamber Music Performance,track
Clean Bandit,1,2014,Best Dance Recording,track
Cleo Laine,2,1985,Best Instrumental Arrangement Accompanying Vocal(s),other
Cleveland Boys Choir,1,1975,"Best Choral Performance, Classical (Other Than Opera)",track
Cleveland Chamber Symphony,1,2006,Best Instrumental Soloist(s) Performance (with Orchestra),track
Cleveland Orchestra,7,1970,"Best Classical Performance, Orchestra",track
Cleveland Orchestra Chorus,1,1975,"Best Choral Performance, Classical (Other Than Opera)",track
Clifford Brown,1,1990,Best Album Notes,album
Clifton Chenier,1,1983,Best Ethnic Or Traditional Folk Recording,track
Clint Black,1,1998,Best Country Collaboration With Vocals,other
Clive Griffin,1,1993,Best Instrumental Arrangement Accompanying Vocal(s),other
Club Nouveau,1,1987,Best Rhythm & Blues Song,track
Colbie Caillat,1,2009,Best Pop Collaboration With Vocals,other
Coldplay,7,2002,Best Alternative Music Album,track
Coleman Hawkins,1,1974,Best Album Notes,album
Colin Davis,1,1971,"Best Engineered Recording, Classical",track
Columbia Chamber Ensemble,1,1970,Best Choral Performance (Other Than Opera),track
Columbia Chamber Orchestra,1,1966,Best Classical Choral Performance (Other Than Opera),track
Columbia Symphony Orchestra,3,1962,Best Classical Performance - Orchestra,track
Commodores,1,1985,Best R&B Performance By A Duo Or Group With Vocal,track
Common,2,2002,Best R&B Song,track
Concentus Musicas Wien,1,2001,Best Choral Performance,track
Concertgebouw Orchestra,1,1980,Best Classical Performance - Instrumental Soloist OR Soloists (With Orchestra),track
Concerto Köln,1,2004,Best Opera Recording,track
Cong Su,1,1988,Best Album Of Original Instrumental Background Score Written For A Motion Picture Or Television,album
Conspirare,2,2014,Best Choral Performance,track
Conway Twitty,1,1971,Best Country Vocal Performance By A Duo Or Group,track
Coolio,1,1995,Best Rap Solo Performance,track
Corea,1,2011,Best Jazz Instrumental Album,album
Corey Carleton,1,2006,Best Small Ensemble Performance,track
Corinne Bailey Rae,1,2011,Best R&B Performance,track
Cortelia Clark,1,1966,Best Folk Recording,track
Count Basie,11,1984,"Best Jazz Instrumental Performance, Big Band",track
Count Basie Orchestra,1,1998,Best Large Jazz Ensemble Performance,track
Country,1,2014,Best Contemporary Christian Music Album,album
Covent Garden,2,2003,Best Opera Recording,track
Creed,1,2000,Best Rock Song,track
Cristian Măcelaru,1,2019,Best Contemporary Classical Composition,other
Cristin Milioti,1,2012,Best Musical Theater Album,album
Crosby,1,1969,Best New Artist Of The Year,artist
Crowder,1,2019,Best Contemporary Christian Music Album,album
Crystal Gayle,3,1977,Best Country Song,track
Culture Club,1,1983,Best New Artist,artist
Curtis Macomber,1,2019,Best Classical Solo Vocal Album,album
Curtis Mayfield,1,2005,"Best Remixed Recording, Non-Classical",track
Cyndi Lauper,2,1984,Best Album Package,album
Cynthia Clawson,1,1980,"Best Gospel Performance, Contemporary Or Inspirational",track
Cynthia Latham,1,1959,Best Broadway Show Album,album
Cynthia Nixon,1,2008,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
Cynthia Weil,1,1987,Best Song Written Specifically For A Motion Picture Or Television,track
Cyrille Aimée,1,2019,"Best Arrangement, Instruments and Vocals",other
Cécile McLorin Salvant,3,2015,Best Jazz Vocal Album,album
D'Angelo,2,2000,Best Male R&B Vocal Performance,album
D'Angelo And The Vanguard,2,2015,Best R&B Album,album
D.J. Jazzy Jeff,2,1988,Best Rap Performance,track
DACA Artists,2,2018,"Best Arrangement, Instrumental or A Cappella",album
DJ Khaled,1,2019,Best Rap/Sung Performance,track
DaBaby,2,2019,Best Rap Performance,track
Dafnis Prieto Big Band,1,2018,Best Latin Jazz Album,album
Daft Punk,7,2013,Album Of The Year,album
Damian Jr. Gong Marley,1,2017,Best Reggae Album,album
Damian Marley,3,2005,Best Reggae Album,album
Dan + Shay,3,2019,Best Country Duo/Group Performance,track
Dan Auerbach,1,2012,"Producer Of The Year, Non-Classical",other
Dan Einstein,1,1986,Best Contemporary Folk Recording,track
Dan Tyminski,1,2001,Best Country Collaboration With Vocals,other
Dan Zanes And Friends,1,2006,Best Musical Album For Children,album
Danger Mouse,2,2010,Best Rock Performance,other
Daniel Caesar,2,2018,Best R&B Performance,track
Daniel Chong,1,2010,Best Chamber Music Performance,track
Daniel Ho,1,2008,Best Hawaiian Music Album,album
Daniel Lanois,1,1992,Producer Of The Year (Non-Classical),other
Daniel Massey,1,1963,Best Score From An Original Cast Show Album,album
Daniel Reichard,1,2006,Best Musical Show Album,album
Daniel Shirley,1,2019,Best Choral Performance,track
Daniel Tashian,1,2019,Best Children's Music Album,album
Daniel Winans,1,1989,"Best Soul Gospel Vocal Performance Duo, Group, Choir Or Chorus",track
Danny Davis,1,1969,Best Country Instrumental Performance,track
Danny Gokey,1,2019,Best Contemporary Christian Music Album,album
Danny Meehan,1,1964,Best Score From An Original Cast Show Album,album
Darius Rucker,1,2013,Best Country Solo Performance,track
Darlene Edwards Jo Stafford And Paul Weston,1,1960,Best Comedy Performance (Musical),track
Darlene Love,1,2014,Best Music Film,other
Dashon Burton,1,2013,Best Chamber Music/Small Ensemble Performance,track
Dave Alvin,1,2000,Best Traditional Folk Album,album
Dave Chappelle,3,2017,Best Comedy Album,album
Dave Grohl,3,2013,Best Rock Song,track
Dave Grusin,7,1989,Best Arrangement On An Instrumental,other
Dave Holland,2,1990,Best Instrumental Composition,other
Dave Holland Big Band,2,2002,Best Large Jazz Ensemble Album,album
Dave Matthews,1,2003,Best Male Rock Vocal Performance,track
Dave Matthews Band,1,1996,Best Rock Performance By A Duo Or Group With Vocal,track
David Alan Miller,1,2019,Best Contemporary Classical Composition,other
David Arkenstone,1,2019,Best New Age Album,album
David Arnold,1,1996,Best Instrumental Composition Written For A Motion Picture Or For Television,other
David Bowie,8,2016,Best Album Package,album
David Burns,1,1958,Best Original Cast Album (Broadway Or TV),album
David Byrne,2,1988,Best Album Of Original Instrumental Background Score Written For A Motion Picture Or Television,album
David Crosby,1,2019,Best Music Film,other
David Darling,2,2009,Best New Age Album,album
David Finckel,9,1989,Best Chamber Music Performance,track
David Foster,3,1984,Producer Of The Year,other
David Frost,6,2004,"Producer Of The Year, Classical",other
David Gray,1,2019,Best Boxed Or Special Limited Edition Package,other
David Guetta,1,2009,"Best Remixed Recording, Non-Classical",track
David Harrington,1,2003,Best Chamber Music Performance,track
David Holt,2,1996,Best Spoken Word Album For Children,album
David Honeyboy Edwards,1,2007,Best Traditional Blues Album,album
David Houston,3,1966,Best Country & Western Recording,track
David Lee Garza,1,2004,Best Tejano Album,album
David Murray,1,1988,"Best Jazz Instrumental Performance, Group",track
David Rose And His Orchestra,1,1959,Best Performance By An Orchestra,track
David Sanborn,6,1981,"Best Jazz Fusion Performance, Vocal Or Instrumental",track
David Seville,1,1958,Best Comedy Performance,track
David Seville And The Chipmunks Ross Bagdasarian,2,1958,Best Album Created For Children,album
David Skidmore,1,2016,Best Chamber Music/Small Ensemble Performance,track
David Sánchez,1,2019,Best Latin Jazz Album,album
Dawn Upshaw,1,2013,"Best Engineered Album, Classical",album
Daya,1,2016,Best Dance Recording,track
Dazz Band,1,1982,Best R&B Performance By A Duo Or Group With Vocal,track
De La Soul,1,2005,Best Pop Collaboration With Vocals,other
Dean Jones,1,1970,Best Score From An Original Cast Show Album,album
Death Angel,1,2019,Best Metal Performance,track
Debbie Shapiro,1,1989,Best Musical Cast Show Album,album
Debby Boone,4,1977,Best Gospel Performance By A Duo Or Group,track
Deborah Allen,1,1974,Best Score From The Original Cast Show Album,album
Dee Dee Bridgewater,4,1997,Best Cast Show Album,album
Deep Forest,1,1995,Best World Music Album,album
Deftones,1,2000,Best Metal Performance,track
Del McCoury Band,1,2013,Best Bluegrass Album,album
Delbert McClinton,4,1991,Best Contemporary Blues Album,album
Deniece Williams,4,1986,"Best Gospel Performance By A Duo Or Group, Choir Or Chorus",track
Depeche Mode,1,2017,Best Remixed Recording,track
Derek,1,2011,Best Surround Sound Album,album
Derek Bermel,1,2019,Best Contemporary Classical Composition,other
Destiny's Child,3,2000,Best R&B Performance By A Duo Or Group With Vocal,track
Detroit Symphony Orchestra,1,2019,Best Orchestral Performance,track
Deutsches Symphonie-Orchester Berlin,1,2010,Best Opera Recording,track
Deva Premal,1,2019,Best New Age Album,album
Dexter Gordon,1,1987,Best Instrumental Composition,other
Diahann Carroll,1,1962,Best Original Cast Show Album,album
Diamond Rio,1,2010,"Best Southern, Country, Or Bluegrass Gospel Album",album
Diana Krall,5,1999,Best Engineered Album - Non-Classical,album
Diane Keaton,1,1968,Best Score From An Original Cast Show Album,album
Diane Linkletter,1,1969,Best Spoken Word Recording,track
Diane Schuur,3,1987,"Best Jazz Vocal Performance, Female",track
Diane Warren,1,1996,Best Song Written Specifically For A Motion Picture Or For Television,track
Dianne Reeves,5,2000,Best Jazz Vocal Album,album
Dick Oatts,2,2019,"Best Arrangement, Instrumental or A Cappella",other
Dick Van Dyke,2,1964,Best Original Score Written For A Motion Picture Or Television Show,other
Dido,1,2001,"Best Remixed Recording, Non-Classical",track
Digable Planets,1,1993,Best Rap Performance By A Duo Or Group,track
Dinah Washington,1,1959,Best Rhythm & Blues Performance,track
Dingle Yandell,1,2019,Best Classical Solo Vocal Album,album
Dionne Warwick,6,1979,"Best Contemporary Pop Vocal Performance, Female",track
Diplo,1,2018,Best Dance Recording,track
Dire Straits,4,1985,Best Engineered Recording - Non Classical,track
Dirty Kitchen,1,2019,Best Bluegrass Album,album
Dirty Vegas,1,2002,Best Dance Recording,track
Dixie Chicks,14,2006,Best Country Performance By A Duo Or Group With Vocal,track
Dixie Hummingbirds,1,1973,Best Soul Gospel Performance,track
Dizzy Gillespie,1,1991,Best Large Jazz Ensemble Performance,track
Dobet Gnahore,1,2009,Best Urban/Alternative Performance,track
Doc Severinsen,2,1986,Best Arrangement On An Instrumental,other
Doc Watson,7,1973,Best Country Instrumental Performance,track
Dolly Parton,9,1981,"Best Country Vocal Performance, Female",track
Domenico Modugno,2,1958,Record Of The Year,track
Don Chastain,1,1962,Best Original Cast Show Album,album
Don Ellis Big Band,1,1972,Best Instrumental Arrangement,other
Don Henley,2,1985,"Best Rock Vocal Performance, Male",track
Don Sebesky,3,1999,Best Instrumental Arrangement,other
Don Was,1,1994,Producer Of The Year,other
Donald Berman,1,2019,Best Classical Solo Vocal Album,album
Donald Fagen,1,2006,Best Surround Sound Album,album
Donald Lawrence Presents The Tri -City Singers,1,2019,Best Gospel Album,album
Donald Nally,2,2019,Best Contemporary Classical Composition,album
Donna Fargo,1,1972,"Best Country Vocal Performance, Female",track
Donna McKecknie,1,1969,Best Score From An Original Cast Show Album,album
Donna Summer,6,1978,Best Inspirational Performance,track
Donnie McClurkin,3,2003,Best Contemporary Soul Gospel Album,album
Donny Hathaway,1,1972,"Best Pop Vocal Performance By A Duo, Group Or Chorus",track
Dony McGuire,1,1980,"Best Gospel Performance, Contemporary Or Inspirational",track
Doris Hall-Gulati,1,2018,Best Choral Performance,track
Doris Rich,1,1959,Best Broadway Show Album,album
Dorothea Röschmann,1,2007,Best Choral Performance,track
Dorothy Loudon,1,1977,Best Cast Show Album,album
Dottie Rambo,1,1968,Best Soul Gospel Performance,track
Dottie West,1,1964,Best Country & Western Vocal Performance - Female,track
Double Trouble,4,1992,Best Contemporary Blues Album,track
Doyle Lawson,1,2019,Best Bluegrass Album,album
Dr. Dre,4,2000,Best Rap Performance By A Duo Or Group,track
Dr. John,5,1989,Best Blues Album,album
Dr. John And The Lower 911,1,2008,Best Contemporary Blues Album,album
Draco Rosa,1,2013,Best Latin Pop Album,album
Drake,6,2016,Best Rap Song,track
Dreamville,2,2019,Best Rap Album,album
Dua Lipa,2,2018,Best Dance Recording,artist
Duane Eddy,1,1986,"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)",track
Dudley Moore,1,1974,Best Spoken Word Recording,track
Duduka Da Fonseca,1,2019,Best Latin Jazz Album,album
Duffy,1,2008,Best Pop Vocal Album,album
Duke Ellington,13,1959,Best Jazz Performance By A Big Band,track
Dunn,3,1993,Best Country Duo/Group Performance,track
Duran Duran,2,1983,Best Video Album,album
Dwight Yoakam,2,1993,Best Country Collaboration With Vocals,other
EARTHGANG,1,2019,Best Rap Performance,track
Eagles,6,1977,Best Arrangement For Voices,track
Earl Carlyss,3,1971,Best Chamber Music Performance,track
Earl Klugh,1,1980,Best Pop Instrumental Performance,track
Earl Scruggs,3,1998,Best Country Instrumental Performance,track
Earth,8,1978,"Best R&B Vocal Performance By A Duo, Group Or Chorus",track
Eartha,1,2002,Best Contemporary Soul Gospel Album,album
Earvin Magic Johnson,1,1992,Best Spoken Word Or Non-Musical Album,album
Ed Sheeran,5,2015,Best Pop Solo Performance,track
Eddie Blazonczyk's Versatones,1,1986,Best Polka Recording,track
Eddie Cano,1,1962,Best Instrumental Theme,other
Eddie Daniels,1,1988,Best Arrangement On An Instrumental,other
Eddie Hodges,1,1958,Best Original Cast Album (Broadway Or TV),album
Eddie Murphy,1,1983,Best Comedy Recording,track
Eddie Palmieri,7,1975,Best Tropical Latin Performance,track
Edgar Meyer,5,2012,Best Classical Crossover Album,album
Edge,3,2005,Song Of The Year,track
Edie Brickell,1,2013,Best American Roots Song,track
Edith Piaf,1,2016,Best Boxed Or Special Limited Edition Package,other
Edward Dusinberre,1,2002,Best Chamber Music Performance,track
Edward R. Murrow,1,1966,"Best Spoken Word, Documentary Or Drama Recording",track
Edward Sharpe,1,2012,Best Long Form Music Video,other
Edward Winter,1,1969,Best Score From An Original Cast Show Album,album
Edwin Hawkins,1,1977,"Best Soul Gospel Performance, Contemporary",track
Edwin Hawkins Singers,2,1969,Best Soul Gospel Performance,track
El Chapo,1,2007,Best Banda Album,album
El Güero Y Su Banda Centanario,1,2010,Best Banda Album,album
Elaine Martone,1,2006,"Producer Of The Year, Classical",other
Eldon Shamblin,1,1993,Best Country Instrumental Performance,track
Eleanor Aller Slatkin,1,1958,Best Classical Performance - Chamber Music (Including Chamber Orchestra),track
Eliane Elias,1,2015,Best Latin Jazz Album,album
Eliesha Nelson,1,2010,"Best Engineered Album, Classical",album
Elisabeth Holte,1,2019,"Producer Of The Year, Classical",other
Elizabeth Cotten,1,1984,Best Ethnic Or Traditional Folk Recording,track
Ella Fitzgerald,15,1958,"Best Jazz Vocal Performance, Female",track
Ella Mai,3,2019,"Best Engineered Album, Non-Classical",album
Ellen DeGeneres,1,2019,Best Comedy Album,album
Ellerhein Girls' Choir,1,2003,Best Choral Performance,track
Elton John,4,1986,Best Male Pop Vocal Performance,track
Elvis Costello,2,1998,Best Pop Collaboration With Vocals,album
Elvis Crespo,1,1999,Best Merengue Performance,track
Elvis Presley,3,1967,Best Inspirational Performance,track
Elza Van den Heever,1,2009,Best Choral Performance,track
Emerson String Quartet,1,2005,"Best Engineered Album, Classical",album
Emilio Navaira,1,2002,Best Tejano Album,album
Emilio Solla Tango Jazz Orchestra,1,2019,"Best Arrangement, Instrumental or A Cappella",other
Emily King,2,2019,"Best Engineered Album, Non-Classical",album
Eminem,15,2000,Best Rap Album,track
Emma Walton Hamilton,1,2010,Best Spoken Word Album For Children,album
Emmanuelle Ophèle,1,2005,Best Small Ensemble Performance (with or without Conductor),track
Emmylou Harris,12,1976,"Best Country Vocal Performance, Female",track
Emotions,1,1977,"Best R&B Vocal Performance By A Duo, Group Or Chorus",track
English Chamber Orchestra,3,1984,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),track
Ennio Morricone,1,1987,Best Album Or Original Instrumental Background Score Written For A Motion Picture Or Television,album
Enrique Iglesias,1,1996,Best Latin Pop Performance,track
Ensemble InterContemporain,1,1984,Best Classical Vocal Soloist Performance,track
Enya,4,1992,Best New Age Album,album
Eric Alexandrakis,1,2019,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",album
Eric Church,2,2019,Best Country Album,album
Eric Clapton,20,1992,Album Of The Year,track
Eric Clapton AND ALSO Wynonna,1,1996,Song Of The Year,track
Eric Dudley,1,2013,Best Chamber Music/Small Ensemble Performance,track
Eric Johnson,1,1991,Best Rock Instrumental Performance,track
Eric Tingstad,1,2002,Best New Age Album,album
Eric Weissberg,1,1973,Best Country Instrumental Performance,track
Erica Campbell,1,2014,Best Gospel Album,album
Erich Kunzel,1,1997,"Best Engineered Album, Classical",album
Erich Leinsdorf,4,1963,Best Engineered Recording - Classical,album
Erin R. Freeman,1,2019,"Producer Of The Year, Classical",other
Erin Wall,1,2009,Best Choral Performance,track
Ernest Gold,2,1960,Best Sound Track Album Or Recording Of Music Score From Motion Picture Or Television,album
Ernestine Jackson,1,1974,Best Score From The Original Cast Show Album,album
Ernie Watts,2,1982,Best Pop Instrumental Performance,track
Erroll Garner,1,1981,Best Album Notes,album
Erykah Badu,4,1997,Best Female R&B Vocal Performance,track
Esperanza Spalding,6,2012,Best Instrumental Arrangement Accompanying Vocalist(s),other
Estelle,1,2008,Best Rap/Sung Collaboration,other
Estelí Gomez,1,2013,Best Chamber Music/Small Ensemble Performance,track
Estonian National Male Choir,1,2003,Best Choral Performance,track
Estonian National Symphony Orchestra,1,2003,Best Choral Performance,track
Estonian Philharmonic Chamber Choir,2,2006,Best Choral Performance,track
Ethel Merman And Broadway Show Cast,1,1959,Best Broadway Show Album,album
Etta James,3,1994,Best Contemporary Blues Album,album
Eubie Blake,1,2016,Best Album Notes,album
Eugene Drucker,9,1989,Best Chamber Music Performance,track
Eugene Levy,1,2003,"Best Song Written For A Motion Picture, Television Or Other Visual Media",track
Eumir Deodato,1,1973,Best Pop Instrumental Performance,track
Evan Bravos,1,2019,Best Choral Performance,track
Evanescence,2,2003,Best Hard Rock Performance,artist
Eve,1,2001,Best Rap/Sung Collaboration,other
Evelyn Glennie,1,2001,Best Classical Crossover Album,album
Everett M. Dirksen,1,1967,"Best Spoken Word, Documentary Or Drama Recording",track
Everlast,1,1999,Best Rock Performance By A Duo Or Group With Vocal,track
Eydie Gorme,2,1960,Best Performance By A Vocal Group (2 To 6),track
FKA twigs,1,2019,Best Music Video,other
Faith Evans,1,1997,Best Rap Performance By A Duo Or Group,track
Faith Hill,5,2000,Best Country Collaboration With Vocals,other
Fantasia,1,2010,Best Female R&B Vocal Performance,track
Fantastic Negrito,2,2016,Best Contemporary Blues Album,album
Fat Man Scoop,1,2005,Best Short Form Music Video,other
Fatboy Slim,1,2001,Best Short Form Music Video,other
Father John Misty,1,2017,Best Recording Package,track
Fats Waller,1,2006,Best Album Notes,album
Felix Slatkin,1,1958,Best Classical Performance - Chamber Music (Including Chamber Orchestra),track
Fergie,2,2011,Best Rap Song,other
Festspielchor Bayreuth,1,2019,Best Opera Recording,track
Festspielorchester Bayreuth,1,2019,Best Opera Recording,track
Fidlar,1,2019,"Producer Of The Year, Non-Classical",other
Fiona Apple,1,1997,Best Female Rock Vocal Performance,track
Fire,8,1978,"Best R&B Vocal Performance By A Duo, Group Or Chorus",track
Flaco Jimenez,3,1986,Best Mexican-American Performance,track
Flatt And Scruggs,1,1968,"Best Country Performance, Duo Or Group - Vocal Or Instrumental",track
Fleetwood Mac,1,1977,Album Of The Year,album
Fletcher Henderson,2,1984,Best Album Notes,album
Flight Of The Conchords,1,2007,Best Comedy Album,album
Flip Wilson,1,1970,Best Comedy Recording,track
Flor De Toloache,1,2019,"Best Latin Rock, Urban or Alternative Album",album
Florentine Opera Chorus,1,2011,"Best Engineered Album, Classical",album
Floyd Domino,1,1999,Best Country Instrumental Performance,track
Flume,2,2016,Best Dance/Electronic Album,album
Foo Fighters,11,2011,Best Rock Album,track
For King,1,2014,Best Contemporary Christian Music Album,album
Foxes,1,2013,Best Dance Recording,track
Fran Walsh,1,2004,"Best Song Written For A Motion Picture, Television Or Other Visual Media",track
Francesco Turrisi,1,2019,Best American Roots Performance,track
Francisco J. Núñez,2,2019,Best Contemporary Classical Composition,album
Frank Fleschner,1,2015,Best Choral Performance,track
Frank Foster,1,1990,"Best Jazz Instrumental Performance, Big Band",track
Frank Kelley,1,2011,"Best Engineered Album, Classical",album
Frank Lopardo,1,2004,Best Choral Performance,track
Frank Ocean,2,2012,Best Rap/Sung Collaboration,album
Frank Sinatra,18,1966,Best Album Notes,album
Frank Sinatra And Original Cast,1,1960,Best Sound Track Album Or Recording Of Original Cast From A Motion Picture Or Television,album
Frank Solivan,1,2019,Best Bluegrass Album,album
Frank Yankovic,1,1985,Best Polka Recording,track
Frank Zappa,2,1987,Best Recording Package - Boxed,track
Frankie Michaels,1,1966,Best Score From An Original Cast Show Album,album
Franklin Delano Roosevelt,1,1960,Best Performance - Documentary Or Spoken Word (Other Than Comedy),track
Fred Hammond,1,2007,Best Contemporary R&B Gospel Album,album
Fred Hersch,1,2019,Best Instrumental Composition,other
Freddie Hubbard,1,1972,Best Jazz Performance By A Group,track
Freddy Fender,1,2001,Best Latin Pop Album,album
Frederick Fennell,2,1962,Best Engineered Recording - Special Or Novel Effects,other
Friends,3,2005,Best New Age Album,album
Fritz Reiner,1,1962,Best Engineered Recording - Classical,track
Fugees,2,1996,Best R&B Performance By A Duo Or Group With Vocal,album
Fun.,2,2012,Best New Artist,artist
Future,1,2018,Best Rap Performance,track
Gabriel Yared,1,1997,Best Instrumental Composition Written For A Motion Picture Or For Television,other
Gabriele Santini,1,1961,Best Album Cover - Classical,album
Gaither Vocal Band,1,2008,"Best Southern, Country, Or Bluegrass Gospel Album",album
Gale Garnett,1,1964,Best Folk Recording,track
Garrison Keillor,1,1987,Best Spoken Word Or Non-Musical Recording,track
Garry Morris,1,1990,Best Musical Cast Show Album,album
Garth Brooks,2,1991,Best Country Collaboration With Vocals,other
Gary Bartz,1,2004,"Best Jazz Instrumental Album, Individual or Group",album
Gary Burton,5,1979,"Best Jazz Instrumental Performance, Group",track
Gary Clark Jr.,5,2019,Best Contemporary Blues Album,track
Gary Hoffmann,1,2001,Best Instrumental Arrangement,other
Gary McFarland,1,1969,Best Album Cover,album
Gary S. Paxton,1,1976,Best Inspirational Performance,track
Gary Scruggs,1,2001,Best Country Instrumental Performance,track
Gene Moore,1,2019,Best Gospel Album,album
Genesis,1,1987,Best Concept Music Video,other
Gentlemen Of The London Symphony Chorus,1,2009,Best Opera Recording,track
Georg Solti,6,1968,"Best Engineered Recording, Classical",track
George Benson,14,1976,Best Pop Instrumental Performance,track
George Beverly Shea And The Anita Kerr Singers,1,1965,Best Gospel Or Other Religious Recording (Musical),track
George Burns,1,1990,Best Spoken Word Or Non-Musical Recording,track
George Carlin,5,1972,Best Spoken Comedy Album,album
George Coe,1,1970,Best Score From An Original Cast Show Album,album
George Grizzard,1,1963,"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",track
George Harrison,2,1972,Album Of The Year,album
George Jones,2,1980,"Best Country Vocal Performance, Male",track
George Manahan,1,2015,"Best Engineered Album, Classical",album
George Michael,2,1987,Album Of The Year,album
George Strait,1,2008,Best Country Album,album
George Winston,1,1995,Best New Age Album,album
Georgia Anne Muldrow,1,2019,Best Urban Contemporary Album,album
Gerald Levert,1,2007,Best Traditional R&B Vocal Performance,track
German Opera Chorus,1,1965,Best Opera Recording,track
German Opera Orchestra,1,1965,Best Opera Recording,track
Gerome Ragni,1,1968,Best Score From An Original Cast Show Album,album
Gerry Mulligan,1,1981,"Best Jazz Instrumental Performance, Big Band",track
Ghost,1,2015,Best Metal Performance,track
Giancarlo Guerrero,4,2010,Best Classical Compendium,other
Gil Evans,4,1996,Best Album Notes,album
Gil Evans And Miles Davis,1,1960,Best Jazz Composition Of More Than Five Minutes Duration,other
Gil Evans Project,1,2012,Best Instrumental Arrangement,other
Gilberto Gil,2,1998,Best Contemporary World Music Album,album
Gilberto Santa Rosa,1,2006,Best Tropical Latin Album,album
Gilda Radner,1,1989,Best Spoken Word Or Non-Musical Recording,track
Gilley's Urban Cowboy Band,1,1980,Best Country Instrumental Performance,track
Giorgio Moroder,1,1997,Best Dance Recording,track
Giovanni Antonini,1,2010,Best Classical Vocal Performance,track
Giovanni Hidalgo,1,2008,Best Contemporary World Music Album,album
Gipsy Kings,1,2013,Best World Music Album,album
Gladys Knight,8,1973,Best Gospel Choir Or Chorus Album,track
Glen Ballard,1,2005,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
Glen Campbell,8,1967,Album Of The Year,track
Glen Duncan,1,2001,Best Country Instrumental Performance,track
Glenn Gould,1,1973,Best Album Notes - Classical,album
Glenn Miller,1,2019,Best Choral Performance,track
Glenn Slater,1,2011,Best Song Written For Visual Media,track
Gloria Estefan,3,1993,Best Traditional Tropical Latin Album,album
Gloria Gaither,2,1999,"Best Southern, Country, Or Bluegrass Gospel Album",album
Gloria Gaynor,2,1979,Best Disco Recording,album
"Glynis Johns,Len Cariou,Hermoine Gingold,Victoria  Mallory",1,1973,Best Score From The Original Cast Show Album,album
Gnarls Barkley,2,2006,Best Alternative Music Album,album
God's Property,1,1997,Best Gospel Choir Or Chorus Album,album
Goodboys,1,2019,Best Dance Recording,track
Gordon Goodwin's Big Phat Band,3,2011,Best Instrumental Arrangement,other
Gorillaz,1,2005,Best Pop Collaboration With Vocals,other
Gotye,3,2012,Best Alternative Music Album,track
Graham Greene,1,1999,Best Spoken Word Album For Children,album
Green Day,4,1994,Best Rock Album,album
Greg Kurstin,2,2016,"Producer Of The Year, Non-Classical",other
Gregg Smith Singers,3,1966,Best Choral Performance (Other Than Opera),track
Gregory Alan Isakov,1,2019,Best Folk Album,album
Gregory Porter,2,2013,Best Jazz Vocal Album,album
Greta Van Fleet,1,2018,Best Rock Album,album
Gretchen Wilson,1,2004,Best Female Country Vocal Performance,track
Grover Mitchell,2,1996,Best Large Jazz Ensemble Performance,track
Grover Washington,2,1981,"Best Jazz Fusion Performance, Vocal Or Instrumental",track
Grupo Fantasma,1,2010,"Best Latin Rock, Alternative Or Urban Album",album
Grupo Mania,1,2002,Best Merengue Album,album
